tenure_months,monthly_charges,support_tickets,contract_type,payment_method,churn
51,100.96,1,One year,Bank transfer,0
40,56.87,3,Two year,Card,0
13,36.21,0,Month-to-month,Card,0
50,28.01,6,Two year,Bank transfer,0
45,62.24,6,Month-to-month,Electronic check,1
1,118.19,1,One year,Electronic check,1
45,76.98,0,Two year,Electronic check,0
8,70.21,7,Two year,Bank transfer,0
39,54.9,7,Two year,Bank transfer,0
28,111.36,8,One year,Electronic check,1
31,69.51,3,Two year,Card,0
34,73.31,3,One year,Card,1
19,45.79,5,One year,Bank transfer,1
10,45.44,2,Two year,Electronic check,1
27,56.4,7,One year,Electronic check,1
27,62.84,0,Two year,Card,0
23,52.85,6,One year,Bank transfer,0
35,107.99,3,One year,Electronic check,1
32,23.19,5,Two year,Bank transfer,0
47,38.15,7,Month-to-month,Bank transfer,1
59,63.34,0,Month-to-month,Bank transfer,0
56,70.79,0,One year,Card,0
30,55.95,6,One year,Card,1
6,71.73,8,Month-to-month,Card,1
5,105.94,0,Month-to-month,Electronic check,1
2,88.35,3,Month-to-month,Card,1
37,124.25,7,Two year,Card,0
11,86.65,1,Month-to-month,Card,1
2,122.18,6,One year,Bank transfer,1
38,95.97,3,Month-to-month,Bank transfer,0
55,95.27,1,Two year,Electronic check,0
28,92.77,1,Two year,Bank transfer,0
55,66.21,7,Month-to-month,Card,0
41,118.07,7,Two year,Electronic check,1
47,77.39,4,Two year,Bank transfer,0
30,67.91,4,One year,Electronic check,0
6,50.68,7,Month-to-month,Card,1
43,61.69,0,One year,Card,0
14,59.03,4,One year,Card,0
45,116.81,8,Month-to-month,Bank transfer,0
6,46.55,6,One year,Bank transfer,0
45,72.37,7,One year,Electronic check,1
15,64.48,3,One year,Bank transfer,0
31,80.88,5,One year,Bank transfer,0
23,97.31,4,One year,Card,1
47,41.18,1,Two year,Bank transfer,0
45,40.37,3,Two year,Card,0
38,127.43,8,Two year,Card,0
54,41.35,3,One year,Electronic check,0
46,78.75,4,Month-to-month,Electronic check,1
45,123.85,7,Month-to-month,Electronic check,1
31,72.66,5,Month-to-month,Electronic check,1
56,72.55,1,One year,Card,1
41,95.51,2,Month-to-month,Bank transfer,0
6,129.33,1,Two year,Card,0
51,88.03,8,One year,Card,0
20,114.62,6,One year,Bank transfer,1
40,125.61,1,Month-to-month,Bank transfer,1
43,28.93,3,Month-to-month,Bank transfer,1
1,64.94,7,One year,Electronic check,1
46,51.1,7,Month-to-month,Bank transfer,1
17,106.66,3,One year,Electronic check,1
42,36.39,4,Month-to-month,Electronic check,1
51,53.84,4,One year,Electronic check,0
20,96.97,4,Two year,Bank transfer,0
6,85.78,6,Two year,Card,0
2,30.05,0,Two year,Card,0
49,103.19,7,Two year,Bank transfer,0
18,39.96,6,Two year,Card,0
31,58.28,5,One year,Bank transfer,1
11,56.28,7,One year,Bank transfer,0
53,103.65,0,One year,Electronic check,1
21,32.75,6,Two year,Electronic check,0
35,70.82,0,Month-to-month,Bank transfer,1
49,74.83,7,Month-to-month,Electronic check,1
9,122.04,7,Two year,Card,1
41,86.98,3,Two year,Electronic check,0
1,80.75,1,Month-to-month,Electronic check,1
8,91.25,2,One year,Bank transfer,1
46,50.08,7,One year,Electronic check,1
10,62.19,8,Two year,Electronic check,0
18,104.99,6,One year,Bank transfer,1
1,51.11,4,Two year,Bank transfer,0
32,115.18,7,Two year,Card,1
36,103.92,6,One year,Card,0
45,46.27,6,Month-to-month,Card,1
48,72.03,6,One year,Bank transfer,0
42,127.89,7,Month-to-month,Electronic check,1
38,56.52,1,One year,Electronic check,0
30,21.69,2,One year,Bank transfer,0
5,71.64,4,One year,Bank transfer,0
42,28.83,5,Two year,Bank transfer,0
21,88.95,7,Two year,Electronic check,0
16,89.43,4,Month-to-month,Bank transfer,1
7,103.64,1,One year,Electronic check,0
58,23.18,5,Month-to-month,Card,1
28,36.01,8,One year,Bank transfer,0
12,38.7,1,Two year,Card,0
16,74.74,2,Month-to-month,Card,0
30,48.09,0,One year,Card,0
11,28.12,5,Two year,Card,0
28,95.93,7,One year,Electronic check,0
55,73.15,3,One year,Bank transfer,0
19,129.2,4,Month-to-month,Bank transfer,1
1,82.25,0,Two year,Bank transfer,0
58,119.32,3,Two year,Card,1
13,88.3,2,Two year,Electronic check,0
42,24.34,7,Month-to-month,Bank transfer,1
9,29.91,4,One year,Bank transfer,1
13,34.54,8,One year,Bank transfer,0
18,111.35,4,One year,Card,0
22,108.47,7,Month-to-month,Electronic check,1
15,114.62,6,Two year,Card,1
26,21.53,8,Month-to-month,Card,1
48,93.96,6,Two year,Card,1
15,71.86,8,One year,Bank transfer,1
5,89.89,7,Two year,Card,0
8,35.38,0,One year,Card,1
16,117.6,2,One year,Card,1
48,96.61,8,One year,Bank transfer,0
10,117.4,1,One year,Bank transfer,1
18,23.6,5,Month-to-month,Card,1
16,114.1,1,Two year,Card,0
42,59.45,6,One year,Electronic check,0
55,110.66,1,Two year,Electronic check,0
39,126.82,0,One year,Electronic check,0
51,82.1,1,Two year,Electronic check,0
53,115.67,5,Month-to-month,Bank transfer,1
55,128.24,2,Two year,Card,0
8,92.72,0,Month-to-month,Electronic check,1
51,46.17,5,Month-to-month,Electronic check,1
9,101.59,8,Month-to-month,Bank transfer,1
29,105.58,8,Two year,Electronic check,1
15,124.0,0,Two year,Bank transfer,0
30,90.77,0,Month-to-month,Card,0
28,95.47,7,Two year,Card,1
6,55.43,2,Month-to-month,Electronic check,1
41,84.39,5,One year,Bank transfer,0
30,75.61,6,Month-to-month,Bank transfer,1
42,91.6,8,Two year,Electronic check,1
57,45.13,5,One year,Card,0
7,54.38,5,Two year,Card,1
10,95.55,7,Month-to-month,Electronic check,1
6,67.51,5,Month-to-month,Bank transfer,1
36,81.79,1,One year,Card,0
49,66.52,0,One year,Bank transfer,0
7,83.57,3,Month-to-month,Bank transfer,1
55,31.9,8,One year,Electronic check,0
37,44.88,6,Two year,Bank transfer,0
42,81.24,4,Month-to-month,Electronic check,1
49,53.99,5,One year,Electronic check,1
10,82.3,6,Month-to-month,Electronic check,1
2,30.09,8,Month-to-month,Card,1
22,37.32,4,Two year,Card,0
37,85.58,0,Month-to-month,Electronic check,0
4,94.14,4,One year,Bank transfer,1
39,68.62,4,Month-to-month,Bank transfer,1
28,32.2,7,Two year,Bank transfer,0
15,63.48,0,Month-to-month,Electronic check,1
14,104.41,4,One year,Card,1
32,102.17,2,Month-to-month,Card,1
15,75.03,5,Month-to-month,Card,0
3,67.98,7,Month-to-month,Card,1
37,64.49,6,One year,Electronic check,1
21,38.91,7,Two year,Card,1
55,31.64,6,Two year,Card,0
26,115.76,5,Month-to-month,Card,1
5,76.15,1,Two year,Bank transfer,1
50,58.43,2,Month-to-month,Electronic check,1
13,39.08,2,Two year,Electronic check,1
50,89.07,7,Two year,Bank transfer,0
60,117.03,5,Two year,Card,1
5,71.58,4,One year,Bank transfer,1
33,28.16,7,One year,Electronic check,1
54,51.58,1,Two year,Bank transfer,0
30,83.84,0,One year,Bank transfer,0
21,86.55,8,Month-to-month,Electronic check,1
52,118.9,5,Two year,Electronic check,0
12,24.31,7,One year,Bank transfer,0
11,60.03,4,One year,Card,0
44,85.77,5,Month-to-month,Card,1
44,62.52,4,Two year,Bank transfer,0
39,116.06,5,Month-to-month,Bank transfer,1
59,58.48,6,Month-to-month,Bank transfer,0
6,54.05,6,Two year,Card,0
43,97.31,8,Month-to-month,Bank transfer,1
33,59.8,5,One year,Electronic check,0
22,124.24,7,Month-to-month,Electronic check,0
10,28.49,1,Two year,Bank transfer,0
57,77.92,5,Two year,Electronic check,0
10,37.85,2,Two year,Card,1
24,94.4,3,One year,Bank transfer,1
48,106.22,3,Two year,Electronic check,0
52,106.28,3,One year,Bank transfer,0
29,70.78,4,One year,Bank transfer,0
11,109.86,2,One year,Electronic check,1
56,60.83,1,Two year,Bank transfer,0
19,29.23,2,One year,Card,0
10,111.42,1,Month-to-month,Card,0
60,22.93,0,One year,Bank transfer,0
25,129.4,5,Month-to-month,Electronic check,1
7,112.31,5,Month-to-month,Electronic check,1
59,111.27,2,Two year,Card,0
1,119.64,0,One year,Electronic check,0
36,123.42,8,One year,Electronic check,1
16,53.13,0,Month-to-month,Card,0
40,70.28,1,One year,Bank transfer,0
41,76.69,3,Two year,Electronic check,0
1,87.63,3,Two year,Card,1
43,29.42,5,Month-to-month,Bank transfer,0
51,128.72,8,Month-to-month,Card,0
3,89.92,5,One year,Bank transfer,1
51,27.43,3,Two year,Bank transfer,0
50,84.01,5,Month-to-month,Electronic check,1
22,109.49,2,Two year,Card,0
